,Industry
LUMAXIND.NS,Auto Ancl
LUMAXTECH.NS,Auto Ancl
LUPIN.NS,Pharmaceuticals
LYKALABS.NS,Pharmaceuticals
LYPSAGEMS.NS,Jewellery
M&M.NS,Auto
M&MFIN.NS,Finance
MAANALU.NS,Aluminium
MADHAV.NS,Misc
MADRASFERT.NS,Construction
MAGMA.NS,Finance
MAGNUM.NS,Paper
MAHABANK.NS,Banks - PSU
MAHINDCIE.NS,Castings
MAHLIFE.NS,Construction
MAHSCOOTER.NS,Auto
MAHSEAMLES.NS,Steel
MAITHANALL.NS,Mining
MALUPAPER.NS,Paper
MANAKSIA.NS,Packaging
MANALIPETC.NS,Petrochem
MANAPPURAM.NS,Finance
MANGALAM.NS,Pharmaceuticals
MANGCHEFER.NS,Fertilisers
MANGLMCEM.NS,Cement
MANGTIMBER.NS,Consumer Goods
MANINDS.NS,Steel
MANINFRA.NS,Construction
MANUGRAPH.NS,Engineering
MARALOVER.NS,Textiles
REMSONSIND.NS,Auto Ancl
RENUKA.NS,Sugar
REPCOHOME.NS,
REPRO.NS,Printing
RESPONIND.NS,Plastics
REVATHI.NS,Compressors
RGL.NS,Compressors
RICOAUTO.NS,Auto Ancl
RIIL.NS,Computers
RKDL.NS,
RKFORGE.NS,
RML.NS,
RNAVAL.NS,
ROLTA.NS,Computers
ROSSELLIND.NS,
RPGLIFE.NS,
RPOWER.NS,Power
RPPINFRA.NS,Construction
RSSOFTWARE.NS,Computers
RSYSTEMS.NS,Computers
RTNINFRA.NS,
RTNPOWER.NS,
RUBYMILLS.NS,Textiles
RUCHIRA.NS,Paper
RUPA.NS,
RUSHIL.NS,
SABTN.NS,Entertainment
SADBHAV.NS,Construction
SAGCEM.NS,Cement
SAIL.NS,Steel
SAKHTISUG.NS,Sugar
SAKSOFT.NS,Computers
SAKUMA.NS,Trading
SALSTEEL.NS,Consumer Goods
SAMBHAAV.NS,
SANDESH.NS,Printing
SANGAMIND.NS,Textiles
SANGHIIND.NS,Cement
SANGHVIMOV.NS,Engineering
SANOFI.NS,
SARDAEN.NS,Steel
SAREGAMA.NS,Entertainment
SARLAPOLY.NS,Textiles
SASKEN.NS,Computers
SASTASUNDR.NS,Computers
SBIN.NS,Banks - PSU
SCHAEFFLER.NS,Banks - PSU
SCHNEIDER.NS,
SCI.NS,Shipping
SDBL.NS,
SEAMECLTD.NS,Shipping
SELAN.NS,Oil Drilling
SEPOWER.NS,
SESHAPAPER.NS,Paper
SETUINFRA.NS,
SGL.NS,Textiles
SHAHALLOYS.NS,Textiles
SHALPAINTS.NS,Paints
SHANTIGEAR.NS,Engineering
SHARDACROP.NS,
SHEMAROO.NS,
SHILPAMED.NS,Pharmaceuticals
SHIRPUR-G.NS,
SHIVAMAUTO.NS,Auto Ancl
SHOPERSTOP.NS,Retail
SHREECEM.NS,Cement
SHREERAMA.NS,Packaging
SHREYANIND.NS,Paper
SHRIRAMCIT.NS,
SHRIRAMEPC.NS,Computers
SHYAMTEL.NS,Telecom
SICAGEN.NS,Trading
SICAL.NS,Trading
SIEMENS.NS,Misc
SILINV.NS,Finance
SIMPLEXINF.NS,Construction
SITINET.NS,
SIYSIL.NS,Textiles
SJVN.NS,Power
SKFINDIA.NS,Auto Ancl
SKIL.NS,
SKMEGGPROD.NS,
SMARTLINK.NS,
SMLISUZU.NS,Auto
SMSPHARMA.NS,Pharmaceuticals
SNOWMAN.NS,
SOBHA.NS,Construction
SOLARINDS.NS,Misc
SOMANYCERA.NS,Ceramics
SONATSOFTW.NS,Computers
SORILINFRA.NS,
SOTL.NS,Petrochem
SOUTHBANK.NS,Banks - Private
SPARC.NS,Misc
SPECIALITY.NS,
SPIC.NS,Fertilisers
SPLIL.NS,Textiles
SPMLINFRA.NS,Textiles
SREEL.NS,
SREINFRA.NS,Finance
SRF.NS,Textiles
SRHHYPOLTD.NS,Petrochem
SRIPIPES.NS,
SSWL.NS,Auto Ancl
STAR.NS,Pharmaceuticals
STARPAPER.NS,Paper
STCINDIA.NS,Trading
STEL.NS,Finance
STERTOOLS.NS,Misc
STRTECH.NS,Cables
SUBROS.NS,Auto Ancl
SUDARSCHEM.NS,Dyes
SUMEETINDS.NS,Textiles
SUMMITSEC.NS,Finance
SUNCLAYLTD.NS,
SUNDARAM.NS,
SUNDARMFIN.NS,Finance
SUNDRMBRAK.NS,
SUNFLAG.NS,Steel
SUNPHARMA.NS,Pharmaceuticals
SUNTECK.NS,Construction
SUNTV.NS,Entertainment
SUPERHOUSE.NS,
SUPERSPIN.NS,Textiles
SUPRAJIT.NS,Auto Ancl
SURANASOL.NS,
SURANAT&P.NS,Cables
SURYALAXMI.NS,Textiles
SURYAROSNI.NS,Steel
SUTLEJTEX.NS,Textiles
SUVEN.NS,Pharmaceuticals
SUZLON.NS,Engineering
SWANENERGY.NS,
SWARAJENG.NS,Engines
SYMPHONY.NS,
TAINWALCHM.NS,Plastics
TAJGVK.NS,Hotels
TAKE.NS,Computers
TALBROAUTO.NS,Auto Ancl
TANLA.NS,
TARMAT.NS,
TATACHEM.NS,Chemicals
TATACOFFEE.NS,Tea-Coffee
TATACOMM.NS,Telecom
TATAELXSI.NS,Computers
TATAINVEST.NS,Finance
TATAMETALI.NS,Steel
TATAMOTORS.NS,Auto
TATAMTRDVR.NS,Auto
TATAPOWER.NS,Power
TATASTEEL.NS,Steel
TATASTLBSL.NS,Steel
TATASTLLP.NS,Steel
TBZ.NS,
TCI.NS,Transport
TCIDEVELOP.NS,
TCIFINANCE.NS,Finance
TCS.NS,Computers
TDPOWERSYS.NS,
TECHIN.NS,
TECHM.NS,Computers
TEXINFRA.NS,
TEXMOPIPES.NS,
TEXRAIL.NS,
TFCILTD.NS,Finance
TFL.NS,Finance
TGBHOTELS.NS,
THANGAMAYL.NS,Jewellery
THEMISMED.NS,Pharmaceuticals
THERMAX.NS,Misc
THOMASCOOK.NS,Travel
TI.NS,Beverages
TIDEWATER.NS,Auto Ancl
TIIL.NS,Diversified
TIJARIA.NS,Diversified
TIL.NS,Engineering
TIMESGTY.NS,Engineering
TIMETECHNO.NS,Packaging
TIMKEN.NS,Auto Ancl
TINPLATE.NS,Metals
TIPSINDLTD.NS,Entertainment
TIRUMALCHM.NS,Chemicals
TITAN.NS,Misc
TNPETRO.NS,Consumer Goods
TNPL.NS,Paper
TOKYOPLAST.NS,Appliances
TORNTPHARM.NS,Pharmaceuticals
TORNTPOWER.NS,Power
TREEHOUSE.NS,
TRENT.NS,Retail
TRF.NS,Engineering
TRIDENT.NS,Textiles
TRIGYN.NS,Computers
MARICO.NS,FMCG
MARKSANS.NS,Pharmaceuticals
MARUTI.NS,Auto
MASTEK.NS,Computers
MAWANASUG.NS,Sugar
MAYURUNIQ.NS,Plastics
MBLINFRA.NS,Construction
MCDHOLDING.NS,
MCDOWELL-N.NS,Beverages
MCX.NS,Misc
MEGH.NS,Agro
MERCATOR.NS,Shipping
MFSL.NS,Packaging
MHRIL.NS,Hotels
MINDACORP.NS,Auto Ancl
MINDAIND.NS,Auto Ancl
MINDTREE.NS,Computers
MIRCELECTR.NS,Consumer Goods
MIRZAINT.NS,Leather
MMFL.NS,Auto Ancl
MMTC.NS,Trading
MOHITIND.NS,Textiles
MOHOTAIND.NS,Textiles
MOIL.NS,
MONTECARLO.NS,Textiles
MORARJEE.NS,Textiles
MOREPENLAB.NS,Pharmaceuticals
MOTHERSUMI.NS,Auto Ancl
MOTILALOFS.NS,Finance
MPHASIS.NS,Computers
MPSLTD.NS,Printing
MRF.NS,Auto Ancl
MRPL.NS,Refineries
MSPL.NS,Steel
MTEDUCARE.NS,Misc
MTNL.NS,Telecom
MUKANDENGG.NS,Computers
MUKANDLTD.NS,Steel
MUKTAARTS.NS,Entertainment
MUNJALAU.NS,Auto Ancl
MUNJALSHOW.NS,Auto Ancl
MURUDCERA.NS,Auto Ancl
MUTHOOTFIN.NS,Finance
NAHARCAP.NS,Finance
NAHARINDUS.NS,Textiles
NAHARPOLY.NS,Textiles
NAHARSPING.NS,Textiles
NATCOPHARM.NS,Pharmaceuticals
NATHBIOGEN.NS,Misc
NATIONALUM.NS,Aluminium
NAUKRI.NS,Misc
NAVINFLUOR.NS,Chemicals
NAVNETEDUL.NS,Printing
NBCC.NS,Construction
NBVENTURES.NS,Diversified
NCC.NS,Construction
NCLIND.NS,Cement
NDTV.NS,Entertainment
NECLIFE.NS,Pharmaceuticals
NELCAST.NS,Castings
NELCO.NS,Telecom
NESCO.NS,Diversified
NESTLEIND.NS,Food Processing
NETWORK18.NS,Finance
NEULANDLAB.NS,Pharmaceuticals
